Combination	Reverse	Strain	Benchmarking
Doxycycline_Loperamide	Loperamide_Doxycycline	Ecoli_iAi1	S
Fosfomycin_Erythromycin	Erythromycin_Fosfomycin	Ecoli_iAi1	A
Mitomycin C_PMS	PMS_Mitomycin C	Ecoli_iAi1	A
Novobiocin_Fosfomycin	Fosfomycin_Novobiocin	Ecoli_iAi1	A
Piperacillin_Amoxicillin	Amoxicillin_Piperacillin	Ecoli_iAi1	S
Doxycycline_Amikacin	Amikacin_Doxycycline	ST_LT2	S
Pyocyanin_PMS	PMS_Pyocyanin	ST_LT2	S
Amikacin_PMS	PMS_Amikacin	ST_LT2	A
Ciprofloxacin_Rifampicin	Rifampicin_Ciprofloxacin	ST_LT2	N
Erythromycin_Loperamide	Loperamide_Erythromycin	ST_LT2	N
Paraquat_Cycloserine D	Cycloserine D_Paraquat	ST_LT2	S
Reserpine_Levofloxacin	Levofloxacin_Reserpine	ST_LT2	N
Cerulenin_Rifampicin	Rifampicin_Cerulenin	ST_LT2	S
Doxycycline_Novobiocin	Novobiocin_Doxycycline	ST_LT2	N
Mitomycin C_PMS	PMS_Mitomycin C	ST_LT2	A
Mitomycin C_Procaine	Procaine_Mitomycin C	ST_LT2	A
Novobiocin_Fosfomycin	Fosfomycin_Novobiocin	ST_LT2	S
Vanillin_Novobiocin	Novobiocin_Vanillin	ST_LT2	N
Amoxicillin_Cefotaxime	Cefotaxime_Amoxicillin	ST_LT2	S
Cefotaxime_Clarithromycin	Clarithromycin_Cefotaxime	ST_LT2	N
Doxycycline_Erythromycin	Erythromycin_Doxycycline	ST_LT2	S
Doxycycline_Loperamide	Loperamide_Doxycycline	ST_LT2	N
Doxycycline_Minocycline	Minocycline_Doxycycline	ST_LT2	S
Erythromycin_Cefaclor	Cefaclor_Erythromycin	ST_LT2	N
Fosfomycin_Erythromycin	Erythromycin_Fosfomycin	ST_LT2	A
Fosfomycin_Mitomycin C	Mitomycin C_Fosfomycin	ST_LT2	N
Fosfomycin_Procaine	Procaine_Fosfomycin	ST_LT2	A
Imipenem_Cefotaxime	Cefotaxime_Imipenem	ST_LT2	S
Levofloxacin_Procaine	Procaine_Levofloxacin	ST_LT2	S
Penicillin G_Aztreonam	Aztreonam_Penicillin G	ST_LT2	N
Penicillin G_Cefsulodin	Cefsulodin_Penicillin G	ST_LT2	S
Sulfamonomethoxine_Levofloxacin	Levofloxacin_Sulfamonomethoxine	ST_LT2	S
Vanillin_Minocycline	Minocycline_Vanillin	ST_LT2	N
Colistin_Erythromycin	Erythromycin_Colistin	ST_LT2	S
Piperacillin_Amoxicillin	Amoxicillin_Piperacillin	ST_LT2	S
Piperacillin_Procaine	Procaine_Piperacillin	ST_LT2	S
Pyocyanin_PMS	PMS_Pyocyanin	ST_14028	S
Doxycycline_Amikacin	Amikacin_Doxycycline	ST_14028	S
Amikacin_PMS	PMS_Amikacin	ST_14028	S
Ciprofloxacin_Rifampicin	Rifampicin_Ciprofloxacin	ST_14028	S
Erythromycin_Loperamide	Loperamide_Erythromycin	ST_14028	N
Paraquat_Cycloserine D	Cycloserine D_Paraquat	ST_14028	N
Reserpine_Levofloxacin	Levofloxacin_Reserpine	ST_14028	S
Cerulenin_Rifampicin	Rifampicin_Cerulenin	ST_14028	S
Doxycycline_Novobiocin	Novobiocin_Doxycycline	ST_14028	A
Mitomycin C_Procaine	Procaine_Mitomycin C	ST_14028	S
Vanillin_Novobiocin	Novobiocin_Vanillin	ST_14028	A
Amoxicillin_Cefotaxime	Cefotaxime_Amoxicillin	ST_14028	S
Benzalkonium_Mecillinam	Mecillinam_Benzalkonium	ST_14028	S
Cefotaxime_Clarithromycin	Clarithromycin_Cefotaxime	ST_14028	N
Doxycycline_Erythromycin	Erythromycin_Doxycycline	ST_14028	S
Doxycycline_Loperamide	Loperamide_Doxycycline	ST_14028	N
Doxycycline_Minocycline	Minocycline_Doxycycline	ST_14028	N
Erythromycin_Cefaclor	Cefaclor_Erythromycin	ST_14028	N
Fosfomycin_Erythromycin	Erythromycin_Fosfomycin	ST_14028	A
Fosfomycin_Mitomycin C	Mitomycin C_Fosfomycin	ST_14028	A
Fosfomycin_Procaine	Procaine_Fosfomycin	ST_14028	A
Imipenem_Cefotaxime	Cefotaxime_Imipenem	ST_14028	S
Levofloxacin_Procaine	Procaine_Levofloxacin	ST_14028	S
Mitomycin C_Amikacin	Amikacin_Mitomycin C	ST_14028	S
Nitrofurantoin_Levofloxacin	Levofloxacin_Nitrofurantoin	ST_14028	A
Nitrofurantoin_Minocycline	Minocycline_Nitrofurantoin	ST_14028	A
Novobiocin_Cefaclor	Cefaclor_Novobiocin	ST_14028	N
Penicillin G_Aztreonam	Aztreonam_Penicillin G	ST_14028	N
Penicillin G_Cefsulodin	Cefsulodin_Penicillin G	ST_14028	S
Sulfamonomethoxine_Levofloxacin	Levofloxacin_Sulfamonomethoxine	ST_14028	S
Vanillin_Minocycline	Minocycline_Vanillin	ST_14028	N
Chloramphenicol_PMS	PMS_Chloramphenicol	ST_14028	A
Colistin_Erythromycin	Erythromycin_Colistin	ST_14028	S
Nitrofurantoin_Ciprofloxacin	Ciprofloxacin_Nitrofurantoin	ST_14028	A
Piperacillin_Amoxicillin	Amoxicillin_Piperacillin	ST_14028	S
Piperacillin_Procaine	Procaine_Piperacillin	ST_14028	S
Ciprofloxacin_Rifampicin	Rifampicin_Ciprofloxacin	PA_01	A
Mitomycin C_Amikacin	Amikacin_Mitomycin C	PA_01	N
Novobiocin_Fosfomycin	Fosfomycin_Novobiocin	PA_01	S
Piperacillin_Amoxicillin	Amoxicillin_Piperacillin	PA_01	A
Ciprofloxacin_Procaine	Procaine_Ciprofloxacin	PA_01	S
Fosfomycin_Mitomycin C	Mitomycin C_Fosfomycin	PA_01	S
Mitomycin C_Procaine	Procaine_Mitomycin C	PA_01	S
Nitrofurantoin_Minocycline	Minocycline_Nitrofurantoin	PA_01	S
Vanillin_Minocycline	Minocycline_Vanillin	PA_01	S
Colistin_Erythromycin	Erythromycin_Colistin	PA_01	N
Fosfomycin_Erythromycin	Erythromycin_Fosfomycin	PA_01	S
Fosfomycin_Procaine	Procaine_Fosfomycin	PA_01	S
Imipenem_Cefotaxime	Cefotaxime_Imipenem	PA_01	A
Nitrofurantoin_Ciprofloxacin	Ciprofloxacin_Nitrofurantoin	PA_01	N
Amoxicillin_Cefotaxime	Cefotaxime_Amoxicillin	PA_01	A
Cefotaxime_Clarithromycin	Clarithromycin_Cefotaxime	PA_01	S
Doxycycline_Loperamide	Loperamide_Doxycycline	PA_01	S
Levofloxacin_Procaine	Procaine_Levofloxacin	PA_01	S
Nitrofurantoin_Levofloxacin	Levofloxacin_Nitrofurantoin	PA_01	N
Cerulenin_Rifampicin	Rifampicin_Cerulenin	PA_01	N
Cycloserine D_Paraquat	Paraquat_Cycloserine D	PA_01	N
Doxycycline_Erythromycin	Erythromycin_Doxycycline	PA_01	N
Doxycycline_Minocycline	Minocycline_Doxycycline	PA_01	N
Doxycycline_Novobiocin	Novobiocin_Doxycycline	PA_01	N
Erythromycin_Loperamide	Loperamide_Erythromycin	PA_01	S
Novobiocin_Cefaclor	Cefaclor_Novobiocin	PA_01	N
Penicillin G_Aztreonam	Aztreonam_Penicillin G	PA_01	N
Penicillin G_Cefsulodin	Cefsulodin_Penicillin G	PA_01	N
Piperacillin_Procaine	Procaine_Piperacillin	PA_01	N
Reserpine_Levofloxacin	Levofloxacin_Reserpine	PA_01	N
Sulfamonomethoxine_Levofloxacin	Levofloxacin_Sulfamonomethoxine	PA_01	N
Vanillin_Novobiocin	Novobiocin_Vanillin	PA_01	N
Nitrofurantoin_Minocycline	Minocycline_Nitrofurantoin	PA_14	A
Vanillin_Minocycline	Minocycline_Vanillin	PA_14	A
Fosfomycin_Procaine	Procaine_Fosfomycin	PA_14	N
Imipenem_Cefotaxime	Cefotaxime_Imipenem	PA_14	S
Amoxicillin_Cefotaxime	Cefotaxime_Amoxicillin	PA_14	A
Cefotaxime_Clarithromycin	Clarithromycin_Cefotaxime	PA_14	S
Doxycycline_Loperamide	Loperamide_Doxycycline	PA_14	S
Benzalkonium_Mecillinam	Mecillinam_Benzalkonium	PA_14	N
Cerulenin_Rifampicin	Rifampicin_Cerulenin	PA_14	N
Cycloserine D_Paraquat	Paraquat_Cycloserine D	PA_14	N
Doxycycline_Erythromycin	Erythromycin_Doxycycline	PA_14	N
Doxycycline_Minocycline	Minocycline_Doxycycline	PA_14	N
Doxycycline_Novobiocin	Novobiocin_Doxycycline	PA_14	N
Erythromycin_Cefaclor	Cefaclor_Erythromycin	PA_14	N
Penicillin G_Aztreonam	Aztreonam_Penicillin G	PA_14	N
Penicillin G_Cefsulodin	Cefsulodin_Penicillin G	PA_14	S
Piperacillin_Procaine	Procaine_Piperacillin	PA_14	N
Vanillin_Novobiocin	Novobiocin_Vanillin	PA_14	N
Paraquat_Aztreonam	Aztreonam_Paraquat	Ecoli_BW	A
EGCG_Ciprofloxacin	Ciprofloxacin_EGCG	Ecoli_BW	N
PMS_Azithromycin	Azithromycin_PMS	Ecoli_BW	N
PMS_Azithromycin	Azithromycin_PMS	Ecoli_iAi1	N
PMS_Aztreonam	Aztreonam_PMS	Ecoli_iAi1	N
Paraquat_Aztreonam	Aztreonam_Paraquat	Ecoli_iAi1	N
A22_Chloramphenicol	Chloramphenicol_A22	ST_LT2	A
A22_Chloramphenicol	Chloramphenicol_A22	ST_14028	A
Caffeine_Aztreonam	Aztreonam_Caffeine	Ecoli_BW	A
Ciprofloxacin_Spectinomycin	Spectinomycin_Ciprofloxacin	Ecoli_BW	A
Ciprofloxacin_Spectinomycin	Spectinomycin_Ciprofloxacin	Ecoli_iAi1	A
Ciprofloxacin_Spectinomycin	Spectinomycin_Ciprofloxacin	ST_LT2	A
Ciprofloxacin_Spectinomycin	Spectinomycin_Ciprofloxacin	ST_14028	A
Doxycycline_Ciprofloxacin	Ciprofloxacin_Doxycycline	Ecoli_BW	A
Doxycycline_Ciprofloxacin	Ciprofloxacin_Doxycycline	ST_LT2	A
Doxycycline_Ciprofloxacin	Ciprofloxacin_Doxycycline	ST_14028	A
EGCG_Ciprofloxacin	Ciprofloxacin_EGCG	Ecoli_iAi1	A
EGCG_Ciprofloxacin	Ciprofloxacin_EGCG	ST_LT2	A
EGCG_Ciprofloxacin	Ciprofloxacin_EGCG	ST_14028	A
Minocycline_Ciprofloxacin	Ciprofloxacin_Minocycline	Ecoli_BW	A
Minocycline_Ciprofloxacin	Ciprofloxacin_Minocycline	Ecoli_iAi1	A
Minocycline_Ciprofloxacin	Ciprofloxacin_Minocycline	ST_LT2	A
Minocycline_Ciprofloxacin	Ciprofloxacin_Minocycline	ST_14028	A
Minocycline_Fosfomycin	Fosfomycin_Minocycline	Ecoli_BW	A
Minocycline_Fosfomycin	Fosfomycin_Minocycline	Ecoli_iAi1	A
Mitomycin C_Azithromycin	Azithromycin_Mitomycin C	Ecoli_BW	A
Mitomycin C_Azithromycin	Azithromycin_Mitomycin C	Ecoli_iAi1	A
Mitomycin C_Azithromycin	Azithromycin_Mitomycin C	ST_LT2	A
Mitomycin C_Azithromycin	Azithromycin_Mitomycin C	ST_14028	A
Mitomycin C_Aztreonam	Aztreonam_Mitomycin C	Ecoli_BW	A
Paraquat_Azithromycin	Azithromycin_Paraquat	Ecoli_BW	A
Paraquat_Azithromycin	Azithromycin_Paraquat	Ecoli_iAi1	A
Paraquat_Azithromycin	Azithromycin_Paraquat	ST_LT2	A
Paraquat_Azithromycin	Azithromycin_Paraquat	ST_14028	A
Piperacillin_Fosfomycin	Fosfomycin_Piperacillin	Ecoli_BW	S
Piperacillin_Fosfomycin	Fosfomycin_Piperacillin	ST_LT2	S
Piperacillin_Fosfomycin	Fosfomycin_Piperacillin	ST_14028	S
PMS_Azithromycin	Azithromycin_PMS	ST_LT2	A
PMS_Azithromycin	Azithromycin_PMS	ST_14028	A
PMS_Aztreonam	Aztreonam_PMS	Ecoli_BW	A
Procaine_Gentamicin	Gentamicin_Procaine	Ecoli_BW	A
Procaine_Gentamicin	Gentamicin_Procaine	Ecoli_iAi1	A
Procaine_Gentamicin	Gentamicin_Procaine	ST_LT2	A
Procaine_Gentamicin	Gentamicin_Procaine	ST_14028	A
Puromycin_Fosfomycin	Fosfomycin_Puromycin	Ecoli_BW	A
Puromycin_Fosfomycin	Fosfomycin_Puromycin	Ecoli_iAi1	A
Pyocyanin_Ciprofloxacin	Ciprofloxacin_Pyocyanin	Ecoli_BW	A
Pyocyanin_Ciprofloxacin	Ciprofloxacin_Pyocyanin	Ecoli_iAi1	A
Pyocyanin_Ciprofloxacin	Ciprofloxacin_Pyocyanin	ST_LT2	A
Pyocyanin_Ciprofloxacin	Ciprofloxacin_Pyocyanin	ST_14028	A
Vanillin_Aztreonam	Aztreonam_Vanillin	Ecoli_BW	A
Vanillin_Aztreonam	Aztreonam_Vanillin	Ecoli_iAi1	A
Vanillin_Ciprofloxacin	Ciprofloxacin_Vanillin	Ecoli_BW	A
Vanillin_Ciprofloxacin	Ciprofloxacin_Vanillin	Ecoli_iAi1	A
Vanillin_Ciprofloxacin	Ciprofloxacin_Vanillin	ST_LT2	A
Vanillin_Ciprofloxacin	Ciprofloxacin_Vanillin	ST_14028	A
